,actors,country,director,dvd,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,runtime,title,tomato_consensus,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,writer,year,budget,genres,homepage,tmdb_id,overview,tmdb_popularity,revenue,tagline,tmdb_vote_average,tmdb_vote_count,wiki_page
tt0401729,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",USA,Andrew Stanton,05 Jun 2012,6.6,"211,908",English,51,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",http://ia.media-imdb.com/images/M/MV5BNjkyOTI5MDA0Ml5BMl5BanBnXkFtZTcwOTU3NzExNw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,09 Mar 2012,132 min,John Carter,"While John Carter looks terrific and delivers its share of pulpy thrills, it also suffers from uneven pacing and occasionally incomprehensible plotting and characterization.",rotten,51,5.7,219,108,60,3.5,113746,"Andrew Stanton (screenplay), Mark Andrews (screenplay), Michael Chabon (screenplay), Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)",2012,250000000,"[Action, Adventure, Fantasy, Science Fiction]",http://disney.go.com/johncarter/,49529,"Civil War vet John Carter is transplanted to Mars, where he discovers a lush, wildly diverse planet whose main inhabitants are 12-foot tall green barbarians. Finding himself a prisoner of these creatures, he escapes, only to encounter Dejah Thoris, Princess of Helium, who is in desperate need of a savior.",2.911455,284139100,Lost in Our World. Found in Another.,6.0,1346,John Carter (film)
tt0454876,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","USA, Taiwan, UK",Ang Lee,12 Mar 2013,8.0,"438,573","English, Tamil, French, Japanese, Hindi, Chinese",79,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",http://ia.media-imdb.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,20th Century Fox,PG,21 Nov 2012,127 min,Life of Pi,"A 3D adaptation of a supposedly ""unfilmable"" book, Ang Lee's Life of Pi achieves the near impossible -- it's an astonishing technical achievement that's also emotionally rewarding.",certified,87,7.9,232,31,84,4.1,167765,"Yann Martel (novel), David Magee (screenplay)",2012,120000000,"[Adventure, Drama, Action]",http://www.lifeofpimovie.com/,87827,"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.",1.408154,609016565,Believe The Unbelievable,7.0,4020,Life of Pi (film)
tt0790724,"Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo",USA,Christopher McQuarrie,07 May 2013,7.0,"225,893",English,50,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,http://ia.media-imdb.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_SX300.jpg,Paramount Pictures,PG-13,21 Dec 2012,130 min,Jack Reacher,Jack Reacher is an above-average crime thriller with a smoothly charismatic performance from Tom Cruise.,fresh,62,6.2,170,65,67,3.6,114506,"Lee Child (based on the book ""One Shot"" by), Christopher McQuarrie (written for the screen by)",2012,60000000,"[Crime, Drama, Thriller]",http://www.jackreachermovie.com/,75780,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.",3.738215,218340595,The Law Has Limits. He Does Not.,6.2,2040,Jack Reacher (film)
tt0837562,"Adam Sandler, Andy Samberg, Selena Gomez, Kevin James",USA,Genndy Tartakovsky,29 Jan 2013,7.1,"163,553",English,47,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",http://ia.media-imdb.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,Sony Pictures,PG,28 Sep 2012,91 min,Hotel Transylvania,"Hotel Transylvania's buoyant, giddy tone may please children, but it might be a little too loud and thinly-scripted for older audiences.",rotten,45,5.3,141,78,72,3.9,150166,"Peter Baynham (screenplay), Robert Smigel (screenplay), Todd Durham (story), Dan Hageman (story), Kevin Hageman (story)",2012,85000000,"[Animation, Comedy, Family, Fantasy]",http://www.welcometohotelt.com,76492,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",2.0786,358375603,Where monsters go to get away from it all,6.7,1547,Hotel Transylvania
tt0848228,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",USA,Joss Whedon,25 Sep 2012,8.1,"991,957","English, Russian",69,Earth's mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity.,http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg,Walt Disney Pictures,PG-13,04 May 2012,143 min,The Avengers,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",certified,92,8.0,317,26,91,4.4,1127957,"Joss Whedon (screenplay), Zak Penn (story), Joss Whedon (story)",2012,220000000,"[Science Fiction, Action, Adventure]",http://marvel.com/avengers_movie/,24428,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",4.912321,1518594910,Some assembly required.,7.3,8414,List of accolades received by The Avengers (2012 film)
tt0903624,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","USA, New Zealand",Peter Jackson,19 Mar 2013,7.9,"635,935",English,58,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",http://ia.media-imdb.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg,Warner Bros.,PG-13,14 Dec 2012,169 min,The Hobbit: An Unexpected Journey,"Peter Jackson's return to Middle-earth is an earnest, visually resplendent trip, but the film's deliberate pace robs the material of some of its majesty.",fresh,64,6.5,275,98,83,4.1,471382,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)",2012,250000000,"[Adventure, Fantasy, Action]",http://www.thehobbit.com/,49051,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",4.294161,1017003568,From the smallest beginnings come the greatest legends.,6.9,6093,The Hobbit: An Unexpected Journey
tt0948470,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",USA,Marc Webb,09 Nov 2012,7.0,"450,985",English,66,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",http://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,Sony Pictures,PG-13,03 Jul 2012,136 min,The Amazing Spider-Man,"A well-chosen cast and sure-handed direction allow The Amazing Spider-Man to thrill, despite revisiting many of the same plot points from 2002's Spider-Man.",certified,73,6.7,306,84,77,3.9,812851,"James Vanderbilt (screenplay), Alvin Sargent (screenplay), Steve Kloves (screenplay), James Vanderbilt (story), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)",2012,215000000,"[Action, Adventure, Fantasy]",http://www.theamazingspiderman.com,1930,"Peter Parker is an outcast high schooler was abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance—leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",2.367321,752215857,The untold story begins.,6.4,4559,The Amazing Spider-Man
tt1024648,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman",USA,Ben Affleck,19 Feb 2013,7.7,"451,322","English, Persian",86,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",http://ia.media-imdb.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg,Warner Bros. Pictures,R,12 Oct 2012,120 min,Argo,"Tense, exciting, and often darkly comic, Argo recreates a historical event with vivid attention to detail and finely wrought characters.",certified,96,8.4,306,13,90,4.2,205841,"Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)",2012,44500000,"[Drama, Thriller]",http://argothemovie.warnerbros.com/,68734,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",1.969104,232324128,The movie was fake. The mission was real.,6.9,2299,Argo
tt1045658,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",USA,David O. Russell,30 Apr 2013,7.8,"532,379",English,81,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",http://ia.media-imdb.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,The Weinstein Company,R,25 Dec 2012,122 min,Silver Linings Playbook,"Silver Linings Playbook walks a tricky thematic tightrope, but David O. Russell's sensitive direction and some sharp work from a talented cast gives it true balance.",certified,92,8.2,230,19,86,4.1,258287,"David O. Russell (screenplay), Matthew Quick (novel)",2012,21000000,"[Drama, Comedy, Romance]",http://silverliningsplaybookmovie.com/,82693,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",2.860467,205738714,Watch For The Signs,6.9,3038,Silver Linings Playbook
tt1074638,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes","UK, USA",Sam Mendes,11 Mar 2013,7.8,"521,217",English,81,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1_SX300.jpg,MGM,PG-13,09 Nov 2012,143 min,Skyfall,"Sam Mendes brings Bond surging back with a smart, sexy, riveting action thriller that qualifies as one of the best 007 films to date.",certified,93,8.2,347,26,86,4.1,371369,"Neal Purvis, Robert Wade, John Logan",2012,200000000,"[Action, Adventure, Thriller]",http://www.skyfall-movie.com,37724,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.",2.322518,1108561013,Think on your sins.,6.8,5789,Skyfall
tt1077368,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green","USA, Australia",Tim Burton,02 Oct 2012,6.2,"198,694",English,55,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.",http://ia.media-imdb.com/images/M/MV5BMjc0NzAyMzI1MF5BMl5BanBnXkFtZTcwMTE0NDQ1Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,11 May 2012,113 min,Dark Shadows,"The visuals are top notch but Tim Burton never finds a consistent rhythm, mixing campy jokes and gothic spookiness with less success than other Johnny Depp collaborations.",rotten,37,5.3,233,147,46,3.2,256603,"Seth Grahame-Smith (screenplay), John August (story), Seth Grahame-Smith (story), Dan Curtis (television series)",2012,150000000,"[Comedy, Fantasy]",http://darkshadowsmovie.warnerbros.com,62213,Vampire Barnabas Collins is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate and family have fallen into ruin.,1.423092,245527149,Every Family Has Its Demons,5.6,1260,Dark Shadows (film)
tt1194173,"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton",USA,Tony Gilroy,11 Dec 2012,6.7,"227,905","English, Russian, Filipino, Ukrainian",61,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",http://ia.media-imdb.com/images/M/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1_SX300.jpg,Universal Pictures,PG-13,10 Aug 2012,135 min,The Bourne Legacy,"It isn't quite as compelling as the earlier trilogy, but The Bourne Legacy proves the franchise has stories left to tell -- and benefits from Jeremy Renner's magnetic work in the starring role.",rotten,56,5.9,219,97,58,3.5,281258,"Tony Gilroy (screenplay), Dan Gilroy (screenplay), Tony Gilroy (story), Robert Ludlum (inspired by ""The Bourne Series"" created by)",2012,130000000,"[Action, Thriller]",http://www.thebournelegacy.com/,49040,"The fourth installment of the highly successful Bourne series sidelines main character Jason Bourne in order to focus on a fellow estranged assassin Aaron Cross. The story centers on new CIA operative, Aaron Cross as he experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.",4.67266,276572938,There Was Never Just One,5.9,1939,The Bourne Legacy (film)
tt1217209,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",USA,"Mark Andrews, Brenda Chapman, Steve Purcell",13 Nov 2012,7.2,"270,429",English,69,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",http://ia.media-imdb.com/images/M/MV5BMzgwODk3ODA1NF5BMl5BanBnXkFtZTcwNjU3NjQ0Nw@@._V1_SX300.jpg,Walt Disney Pictures,PG,22 Jun 2012,93 min,Brave,"Brave offers young audiences and fairy tale fans a rousing, funny fantasy adventure with a distaff twist and surprising depth.",certified,79,7.0,229,50,76,3.9,277569,"Brenda Chapman (story by), Mark Andrews (screenplay), Steve Purcell (screenplay), Brenda Chapman (screenplay), Irene Mecchi (screenplay)",2012,185000000,"[Animation, Adventure, Comedy, Family, Action, Fantasy]",http://disney.go.com/brave/#/home,62177,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",1.997013,538983207,Change your fate.,6.6,2985,Brave
tt1232829,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",USA,"Phil Lord, Christopher Miller",26 Jun 2012,7.2,"407,072",English,69,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg,Sony Pictures,R,16 Mar 2012,109 min,21 Jump Street,"A smart, affectionate satire of '80s nostalgia and teen movie tropes, 21 Jump Street offers rowdy mainstream comedy with a surprisingly satisfying bite.",certified,85,7.2,210,32,82,4.0,255936,"Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)",2012,42000000,"[Action, Comedy, Crime]",http://www.21jumpstreet-movie.com/,64688,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",1.875948,201585328,They thought the streets were mean. Then they went back to high school.,6.6,2760,21 Jump Street (film)
tt1259521,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",USA,Drew Goddard,18 Sep 2012,7.0,"276,265","English, Japanese",72,"Five friends go for a break at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods.",http://ia.media-imdb.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@._V1_SX300.jpg,Lionsgate Films,R,13 Apr 2012,95 min,The Cabin in the Woods,"The Cabin in the Woods is an astonishing meta-feat, capable of being funny, strange, and scary -- frequently all at the same time.",certified,92,7.9,257,21,73,3.8,204760,"Joss Whedon, Drew Goddard",2012,30000000,"[Horror, Thriller]",http://www.discoverthecabininthewoods.com/,22970,"Five college friends spend the weekend at a remote cabin in the woods, where they get more than they bargained for. Together, they must discover the truth behind the cabin in the woods.",1.442046,66486080,If you hear a strange sound outside... have sex,6.5,1260,The Cabin in the Woods
tt1276104,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano","USA, China",Rian Johnson,31 Dec 2012,7.4,"424,751","English, French",84,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",http://ia.media-imdb.com/images/M/MV5BMTY3NTY0MjEwNV5BMl5BanBnXkFtZTcwNTE3NDA1OA@@._V1_SX300.jpg,Sony Pictures,R,28 Sep 2012,119 min,Looper,"As thought-provoking as it is thrilling, Looper delivers an uncommonly smart, bravely original blend of futuristic sci-fi and good old-fashioned action.",certified,93,8.1,249,17,82,4.0,177431,Rian Johnson,2012,30000000,"[Action, Thriller, Science Fiction]",http://loopermovie.com/,59967,"In the futuristic action thriller Looper, time travel will be invented but it will be illegal and only available on the black market. When the mob wants to get rid of someone, they will send their target 30 years into the past where a looper, a hired gun, like Joe is waiting to mop up. Joe is getting rich and life is good until the day the mob decides to close the loop, sending back Joe's future self for assassination.",2.289723,47042000,"Hunted By Your Future, Haunted By Your Past",6.5,3269,Looper (film)
tt1277953,"Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith",USA,"Eric Darnell, Tom McGrath, Conrad Vernon",16 Oct 2012,6.9,"118,977","English, Norwegian",60,"Alex, Marty, Gloria and Melman are still fighting to get home to their beloved Big Apple. Their journey takes them through Europe where they find the perfect cover: a traveling circus, which they reinvent - Madagascar style.",http://ia.media-imdb.com/images/M/MV5BMTM2MTIzNzk2MF5BMl5BanBnXkFtZTcwMDcwMzQxNw@@._V1_SX300.jpg,Paramount/Dreamworks,PG,08 Jun 2012,93 min,Madagascar 3: Europe's Most Wanted,"Dazzlingly colorful and frenetic, Madagascar 3 is silly enough for young kids, but boasts enough surprising smarts to engage parents along the way.",certified,79,6.8,130,27,73,3.8,255914,"Eric Darnell (screenplay), Noah Baumbach (screenplay)",2012,145000000,"[Animation, Family]",,80321,"Alex, Marty, Gloria and Melman are still trying to get back to the Big Apple and their beloved Central Park zoo, but first they need to find the penguins. When they travel to Monte Carlo, they attract the attention of Animal Control after gate crashing a party and are joined by the penguins, King Julian and Co., and the monkeys. How do a lion, zebra, hippo, giraffe, four penguins, two monkeys, three lemurs travel through Europe without attracting attention and get back to New York? They join a traveling circus. Their attempts to get back to New York are consistently hampered by the Captain of Animal Control who wants to make Alex part of her collection. Once they make it back to New York Marty, Alex, Gloria and Melman realize that they want to be part of the traveling circus.",2.474536,746921274,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",6.5,1195,Madagascar 3: Europe's Most Wanted
tt1343727,"Karl Urban, Rachel Wood, Andile Mngadi, Porteus Xandau","UK, USA, India, South Africa",Pete Travis,08 Jan 2013,7.1,"203,042",English,59,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.",http://ia.media-imdb.com/images/M/MV5BODkyNDQzMzUzOF5BMl5BanBnXkFtZTcwODYyMDEyOA@@._V1_SX300.jpg,Lionsgate Films,R,21 Sep 2012,95 min,Dredd,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.",certified,78,6.5,150,33,72,3.7,152229,"John Wagner (characters), Carlos Ezquerra (characters), Alex Garland (screenplay)",2012,50000000,"[Action, Science Fiction]",http://dreddthemovie.com/,49049,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",2.048062,41037742,Judgement is coming,6.5,1249,Dredd
tt1345836,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","USA, UK",Christopher Nolan,03 Dec 2012,8.5,"1,140,135","English, Arabic",78,"Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.",http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,20 Jul 2012,164 min,The Dark Knight Rises,"The Dark Knight Rises is an ambitious, thoughtful, and potent action film that concludes Christopher Nolan's franchise in spectacular fashion.",certified,87,8.0,333,44,90,4.3,1206456,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2012,250000000,"[Action, Crime, Drama, Thriller]",http://www.thedarkknightrises.com/,49026,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",3.605058,1081041287,The Legend Ends,7.5,6312,The Dark Knight Rises
